query,parent_asin,relevance
"phone adapter screw problem",B013ZJMR3K,1
"phone adapter screw problem",B073JYC4XM,0
"phone adapter screw problem",B082M1YTYC,1
"phone adapter screw problem",B0126KXDN2,1
"phone adapter screw problem",B08SBQNB1V,0
"phone adapter screw problem",B000HVHYJW,1
"phone adapter screw problem",B0007LXQBW,0
"phone adapter screw problem",B0007LXQBW,0
"phone adapter screw problem",B0BG5WJ9RV,1
"phone adapter screw problem",B0BQJG3KGN,0
"phone adapter screw problem",B006C13X4Q,0
"phone adapter screw problem",B07P94PB7Z,1
"phone adapter screw problem",B078SQWBDY,1
"phone adapter screw problem",B00HTA0AJ0,1
"phone adapter screw problem",B00A0P3XUY,0
"tripod mount loose",B00DNU215Q,1
"tripod mount loose",B09DPF9GX2,0
"tripod mount loose",B07HL5SDPQ,1
"tripod mount loose",B0042FZA1S,1
"tripod mount loose",B0843TLRPS,0
"tripod mount loose",B075K6JTN6,0
"tripod mount loose",B0843TLRPS,0
"tripod mount loose",B07JGXPYL5,0
"tripod mount loose",B07HLR3N1Q,1
"tripod mount loose",B09T8FZ4P6,0
"tripod mount loose",B077W8JVFY,0
"tripod mount loose",B08CXV4DKR,1
"tripod mount loose",B074TMJ44M,0
"tripod mount loose",B07HL5SDPQ,1
"tripod mount loose",B006UAJ690,0
"camera battery overheating",B0002XKT6U,0
"camera battery overheating",B07ZRF9DQX,0
"camera battery overheating",B08VFT968J,0
"camera battery overheating",B00068DIB4,0
"camera battery overheating",B0B21DKG75,0
"camera battery overheating",B0002XKT6U,0
"camera battery overheating",B07Q25B9BJ,0
"camera battery overheating",B07ZRF9DQX,0
"camera battery overheating",B005D67356,0
"camera battery overheating",B000NG67E4,0
"camera battery overheating",B0BF4JN9WD,1
"camera battery overheating",B07X8CFT5C,1
"camera battery overheating",B0045TKC7S,0
"camera battery overheating",B0075VFK5W,0
"camera battery overheating",B08L6V7HVP,0
"charging cable doesn’t fit",B083CVBP12,0
"charging cable doesn’t fit",B0777KLKJ1,0
"charging cable doesn’t fit",B01J9DTAI6,0
"charging cable doesn’t fit",B01I524O0G,1
"charging cable doesn’t fit",B00OUUX058,0
"charging cable doesn’t fit",B00QK5BCWE,0
"charging cable doesn’t fit",B01KQLAR6O,0
"charging cable doesn’t fit",B08Q2WMGKP,0
"charging cable doesn’t fit",B00VR2K9RO,0
"charging cable doesn’t fit",B076GVVB6R,0
"charging cable doesn’t fit",B07Q6TVXX4,0
"charging cable doesn’t fit",B07DTJLRP4,0
"charging cable doesn’t fit",B01F9RH0R4,1
"charging cable doesn’t fit",B07DC4PZC4,1
"charging cable doesn’t fit",B01MDK3D9R,0
"sd card read error",B08ND2TR95,1
"sd card read error",B07BH1MZ1X,0
"sd card read error",B08PCKMMZB,0
"sd card read error",B08PCHBMPY,0
"sd card read error",B00WHTQHCC,1
"sd card read error",B09TPV8FRX,0
"sd card read error",B0BLY2KLGG,0
"sd card read error",B08PCKMMZB,0
"sd card read error",B09NN648FM,0
"sd card read error",B07JR4S2LY,1
"sd card read error",B0198HIF7K,1
"sd card read error",B08F6XMWXZ,1
"sd card read error",B006T9B6R2,0
"sd card read error",B071R715MZ,1
"sd card read error",B00IVPU7AO,1
"bluetooth connection failure",B08G43DN5X,0
"bluetooth connection failure",B01KT301YC,0
"bluetooth connection failure",B00B489HP6,1
"bluetooth connection failure",B07YRLK978,1
"bluetooth connection failure",B096WPKZNR,1
"bluetooth connection failure",B096WPKZNR,1
"bluetooth connection failure",B0B53FNQFT,0
"bluetooth connection failure",B09NWGVKZ3,0
"bluetooth connection failure",B014WAJ4P0,1
"bluetooth connection failure",B00X69BUSI,1
"bluetooth connection failure",B08XNCHTCY,1
"bluetooth connection failure",B09FL8S13M,1
"bluetooth connection failure",B006JC5BYI,1
"bluetooth connection failure",B0935ZDCYD,1
"bluetooth connection failure",B0BJT15DLL,1



